"","analytename","SiteYear","stationcode","objectid","sampledate","sampletypecode","matrixname","fieldreplicate","labreplicate","methodname","fractionname","unit","result","resqualcode","mdl","rl","dilutionfactor","qacode","labresultcomments","labagencycode","projectcode","record_origin","origin_lastupdatedate","record_publish","originalid","masterid","huc","smcshed","county","smc_lu","latitude","longitude","probabilistic","SiteDate","Year","OCresult","OrgNorm","RLOC","Class","TEB","LEB","Assessment","RLOC_Eval","TEBq","LEBq","AssessNumeric"
"427","Deltamethrin","404S27470_2012","404S27470",104115,2012-06-19,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.00205,"=",0.000396,0.00178,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S27470",404,"Santa Monica Bay","Ventura","Urban",34.17445,-118.76389,"true","404S27470_2012-06-19",2012,0.0455,0.05,0.04,"PYR",0.02,0.2,"Possible","Poor RL",2.5,0.25,3
"197","Cyfluthrin","404S26868_2012","404S26868",104072,2012-06-26,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000166,0.00161,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S26868",404,"Santa Monica Bay","Los Angeles","Urban",34.09675,-118.71737,"true","404S26868_2012-06-26",2012,0.0089,0,0.181,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"90","Bifenthrin","404S26670_2012","404S26670",67135,2012-06-18,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.0195,"=",9.3e-05,0.000369,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S26670",404,"Santa Monica Bay","Los Angeles","Urban",34.16385,-118.76205,"true","404S26670_2012-06-18",2012,0.0235,0.83,0.02,"PYR",0.17,0.6,"Likely","GoodRL",4.88235294117647,1.38333333333333,1
"424","Deltamethrin","404S25298_2012","404S25298",103948,2012-06-20,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000294,0.00132,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"404S25298",404,"Santa Monica Bay","Los Angeles","Open",34.04553,-118.68732,"true","404S25298_2012-06-20",2012,0.0368,0,0.04,"PYR",0.02,0.2,"Possible or Unlikely","Poor RL",0,0,4
"234","Cyfluthrin","404S23297_2013","404S23297",66964,2013-06-19,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000181,0.00175,1,"PG",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"404S23297",404,"Santa Monica Bay","Los Angeles","Open",34.05006,-118.58103,"true","404S23297_2013-06-19",2013,0.01,0,0.175,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"47","Bifenthrin","404S18666_2011","404S18666",66875,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.00597,"=",0.000327,0.000653,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S18666",404,"Santa Monica Bay","Ventura","Urban",34.17206,-118.76375,"true","404S18666_2011-06-15",2011,0.004,1.49,0.16,"PYR",0.17,0.6,"Likely","GoodRL",8.76470588235294,2.48333333333333,1
"232","Cyfluthrin","404S17016_2013","404S17016",103664,2013-06-05,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000101,0.000976,1,"None",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"404S17016",404,"Santa Monica Bay","Los Angeles","Open",34.1183,-118.78057,"true","404S17016_2013-06-05",2013,0.0174,0,0.056,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"45","Bifenthrin","404S16232_2011","404S16232",103591,2011-06-09,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.0012,"=",0.000334,0.000668,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S16232",404,"Santa Monica Bay","Los Angeles","Urban",34.12549,-118.75317,"true","404S16232_2011-06-09",2011,0.0039,0.31,0.17,"PYR",0.17,0.6,"Possible","GoodRL",1.82352941176471,0.516666666666667,3
"139","Bifenthrin","404S14952_2011","404S14952",103515,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.0147,"=",0.000647,0.00129,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S14952",404,"Santa Monica Bay","Los Angeles","Urban",34.14268,-118.70089,"true","404S14952_2011-06-15",2011,0.0618,0.24,0.02,"PYR",0.17,0.6,"Possible","GoodRL",1.41176470588235,0.4,3
"431","Deltamethrin","404S13672_2011","404S13672",66561,2011-06-08,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.00134,"=",0.000289,0.000579,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S13672",404,"Santa Monica Bay","Los Angeles","Open",34.0754,-118.70292,"true","404S13672_2011-06-08",2011,0.005,0.27,0.12,"PYR",0.02,0.2,"Likely","Poor RL",13.5,1.35,1
"201","Cyfluthrin","404S13416_2011","404S13416",66525,2011-06-08,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000277,0.000553,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S13416",404,"Santa Monica Bay","Los Angeles","Urban",34.09875,-118.71594,"true","404S13416_2011-06-08",2011,0.0074,0,0.075,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"416","Deltamethrin","404S11880_2011","404S11880",66442,2011-06-07,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.00613,"=",0.000343,0.000685,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"404S11880",404,"Santa Monica Bay","Los Angeles","Urban",34.12529,-118.70827,"true","404S11880_2011-06-07",2011,0.0214,0.29,0.03,"PYR",0.02,0.2,"Likely","Poor RL",14.5,1.45,1
"121","Bifenthrin","404M07372_2019","404M07372",129483,2019-07-09,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",0.0162,"=",0.00022,5e-04,1,"None","","PEL","SMC_LACFCD_2019","SMC",2020-01-17 21:17:07,"false",NA,"404M07372",404,"Santa Monica Bay","Los Angeles","Urban",34.13604,-118.75743,"true","404M07372_2019-07-09",2019,0.042,0.39,0.01,"PYR",0.17,0.6,"Possible","GoodRL",2.29411764705882,0.65,3
"120","Bifenthrin","404M07360_2017","404M07360",49754,2017-06-08,"grab","sediment",1,1,"EPA 8270C","Total","ug/g dw",0.03716,"=",0.00022,0.00071,1,"None","","PEL",NA,"SMC",2018-06-11 15:23:00,"true",NA,"404M07360",404,"Santa Monica Bay","Los Angeles","Urban",34.15459,-118.75848,"true","404M07360_2017-06-08",2017,0.0754,0.49,0.01,"PYR",0.17,0.6,"Possible","GoodRL",2.88235294117647,0.816666666666667,3
"119","Bifenthrin","403S39062_2013","403S39062",62845,2013-06-25,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.257,"=",0.00111,0.0044,10,"D,PJM",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"403S39062",403,"Santa Clara","Los Angeles","Agricultural",34.4323,-118.61744,"true","403S39062_2013-06-25",2013,0.0083,30.96,0.53,"PYR",0.17,0.6,"Likely","Poor RL",182.117647058824,51.6,1
"118","Bifenthrin","403S34646_2013","403S34646",62775,2013-06-25,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.229,"=",0.00287,0.0114,20,"D,PJM",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"403S34646",403,"Santa Clara","Los Angeles","Agricultural",34.42556,-118.56616,"true","403S34646_2013-06-25",2013,0.0923,2.48,0.12,"PYR",0.17,0.6,"Likely","GoodRL",14.5882352941176,4.13333333333333,1
"453","Deltamethrin","403S18093_2013","403S18093",99741,2013-06-24,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000456,0.00205,1,"PG",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"403S18093",403,"Santa Clara","Ventura","Open",34.69441,-118.85658,"true","403S18093_2013-06-24",2013,0.0094,0,0.22,"PYR",0.02,0.2,"RL Too High","Tragic RL",0,0,2
"194","Cyfluthrin","403S16978_2013","403S16978",99656,2013-06-26,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000251,0.00244,1,"PG",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"403S16978",403,"Santa Clara","Ventura","Open",34.42319,-118.76771,"true","403S16978_2013-06-26",2013,0.0286,0,0.085,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"193","Cyfluthrin","403S16493_2013","403S16493",99594,2013-06-24,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000155,0.0015,1,"PG",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"403S16493",403,"Santa Clara","Ventura","Open",34.6867,-118.84546,"true","403S16493_2013-06-24",2013,0.0077,0,0.195,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"450","Deltamethrin","403S16332_2013","403S16332",99562,2013-06-26,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000284,0.00128,1,"PJM",NA,"DFG-WPCL","RWB4_SMC_2013","SWAMP",2016-04-07 00:00:00,"true",NA,"403S16332",403,"Santa Clara","Ventura","Open",34.5317,-118.75812,"true","403S16332_2013-06-26",2013,0.0446,0,0.03,"PYR",0.02,0.2,"Possible or Unlikely","Poor RL",0,0,4
"191","Cyfluthrin","403S07227_2012","403S07227",99425,2012-06-27,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000171,0.00166,1,"None",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"403S07227",403,"Santa Clara","Ventura","Open",34.56208,-119.16664,"true","403S07227_2012-06-27",2012,0.0124,0,0.134,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"448","Deltamethrin","403S07024_2012","403S07024",62356,2012-06-13,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000376,0.00169,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"403S07024",403,"Santa Clara","Los Angeles","Open",34.6092,-118.75771,"true","403S07024_2012-06-13",2012,0.0576,0,0.03,"PYR",0.02,0.2,"Possible or Unlikely","Poor RL",0,0,4
"189","Cyfluthrin","403S06660_2012","403S06660",99289,2012-06-14,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000168,0.00163,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"403S06660",403,"Santa Clara","Ventura","Agricultural",34.42963,-118.92373,"true","403S06660_2012-06-14",2012,0.0151,0,0.108,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"446","Deltamethrin","403S06315_2012","403S06315",99219,2012-06-27,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000282,0.00127,1,"None",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"403S06315",403,"Santa Clara","Ventura","Open",34.59223,-119.31033,"true","403S06315_2012-06-27",2012,0.0411,0,0.03,"PYR",0.02,0.2,"Possible or Unlikely","Poor RL",0,0,4
"187","Cyfluthrin","403S06283_2012","403S06283",99180,2012-06-13,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000291,0.00282,1,"H,PJM",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"403S06283",403,"Santa Clara","Ventura","Open",34.69386,-118.86079,"true","403S06283_2012-06-13",2012,0.0159,0,0.177,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"214","Cyfluthrin","403S06139_2012","403S06139",99140,2012-06-27,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000175,0.00169,1,"None",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"403S06139",403,"Santa Clara","Ventura","Open",34.55464,-119.2405,"true","403S06139_2012-06-27",2012,0.0155,0,0.109,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"213","Cyfluthrin","403S04868_2011","403S04868",62046,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.00028,0.000559,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S04868",403,"Santa Clara","Ventura","Agricultural",34.40491,-118.93943,"true","403S04868_2011-06-15",2011,0.0101,0,0.055,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"212","Cyfluthrin","403S02764_2011","403S02764",98885,2011-06-14,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000281,0.000563,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S02764",403,"Santa Clara","Ventura","Open",34.44778,-118.7549,"true","403S02764_2011-06-14",2011,0.0077,0,0.073,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"441","Deltamethrin","403S02363_2011","403S02363",61861,2011-06-16,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.00337,"=",0.000262,0.000523,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S02363",403,"Santa Clara","Ventura","Open",34.55885,-119.15456,"true","403S02363_2011-06-16",2011,0.0058,0.58,0.09,"PYR",0.02,0.2,"Likely","Poor RL",29,2.9,1
"210","Cyfluthrin","403S01728_2011","403S01728",61751,2011-07-13,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000312,0.000623,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01728",403,"Santa Clara","Los Angeles","Open",34.5749,-118.46002,"true","403S01728_2011-07-13",2011,0.0086,0,0.072,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"324","Cypermethrin","403S01536_2011","403S01536",98671,2011-07-12,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000421,0.000843,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01536",403,"Santa Clara","Los Angeles","Open",34.56909,-118.39212,"true","403S01536_2011-07-12",2011,0.0124,0,0.068,"PYR",0.049,0.49,"Possible or Unlikely","Poor RL",0,0,4
"802","Permethrin","403S01136_2011","403S01136",98540,2011-06-13,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.0162,"ND",0.00113,0.00227,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01136",403,"Santa Clara","Los Angeles","Open",34.62762,-118.74403,"true","403S01136_2011-06-13",2011,0.0093,1.74,0.24,"PYR",0.42,9.3,"Possible","GoodRL",4.14285714285714,0.187096774193548,3
"101","Bifenthrin","403M05832_2019","403M05832",129481,2019-06-27,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",0.000884,"=",0.00022,5e-04,1,"None","","PEL","SMC_LACFCD_2019","SMC",2020-01-17 21:17:07,"false",NA,"403M05832",403,"Santa Clara","Los Angeles","Open",34.54997,-118.50855,"true","403M05832_2019-06-27",2019,0.0561,0.02,0.01,"PYR",0.17,0.6,"Unlikely (<TEB)","GoodRL",0.117647058823529,0.0333333333333333,5
"100","Bifenthrin","403M05795_2017","403M05795",49752,2017-06-05,"grab","sediment",1,1,"EPA 8270C","Total","ug/g dw",-88,"ND",0.00022,0.00071,1,"None","","PEL",NA,"SMC",2018-06-11 15:22:59,"true",NA,"403M05795",403,"Santa Clara","Los Angeles","Open",34.60898,-118.77961,"true","403M05795_2017-06-05",2017,0.0472,0,0.02,"PYR",0.17,0.6,"Unlikely_ND","GoodRL",0,0,6
"475","Deltamethrin","403M01538_2017","403M01538",49045,2017-05-25,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.00085,0.00085,1,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-06-11 15:22:58,"true",NA,"403M01538",403,"Santa Clara","Ventura","Agricultural",34.41199,-118.83067,"true","403M01538_2017-05-25",2017,0.00356,0,0.24,"PYR",0.02,0.2,"RL Too High","Tragic RL",0,0,2
"474","Deltamethrin","403BA0047_2019","SMC00047",129001,2019-05-15,"grab","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.00099,0.00099,9.9,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL","SMC_VCWPD_2019","SMC",2019-11-01 11:37:09,"false",NA,"403BA0047",403,"Santa Clara","Ventura","Urban",34.27084,-119.1524,"true","403BA0047_2019-05-15",2019,0.0221,0,0.04,"PYR",0.02,0.2,"Possible or Unlikely","Poor RL",0,0,4
"137","Bifenthrin","402M00114_2018","402M00114",125823,2018-06-14,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.00082,0.00082,1,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00114",402,"Ventura","Ventura","Open",34.41665,-119.37011,"true","402M00114_2018-06-14",2018,0.000857,0,0.96,"PYR",0.17,0.6,"RL Too High","Tragic RL",0,0,2
"202","Cyfluthrin","402M00066_2018","402M00066",125935,2018-07-23,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.00074,0.00074,1,"None","""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"402M00066",402,"Ventura","Ventura","Urban",34.29325,-119.30742,"true","402M00066_2018-07-23",2018,0.00935,0,0.079,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
